,cycle,population_active__t1,population_passive__t1,population_total__t1,population_active__t2,population_passive__t2,population_total__t2,population_active__t3,population_passive__t3,population_total__t3
0,0,1,1,2,1,1,2,1,1,2
1,1,1,1,2,1,1,2,1,1,2
2,2,1,1,2,1,1,2,1,1,2
3,3,1,1,2,1,1,2,1,1,2
4,4,1,1,2,1,1,2,1,1,2
5,5,1,1,2,1,1,2,1,1,2
6,6,1,1,2,1,1,2,1,1,2
7,7,1,1,2,1,1,2,1,1,2
8,8,1,1,2,1,1,2,1,1,2
9,9,1,1,2,1,1,2,1,1,2
10,10,1,1,2,1,1,2,1,1,2
11,11,1,1,2,1,1,2,1,1,2
12,12,1,1,2,1,1,2,1,1,2
13,13,1,1,2,1,1,2,1,1,2
14,14,1,1,2,1,1,2,1,1,2
15,15,1,1,2,1,1,2,1,1,2
16,16,1,1,2,1,1,2,1,1,2
17,17,1,1,2,1,1,2,1,1,2
18,18,1,1,2,1,1,2,1,1,2
19,19,1,1,2,1,1,2,1,1,2
20,20,1,1,2,1,1,2,1,1,2
21,21,1,1,2,1,1,2,1,1,2
22,22,1,1,2,1,1,2,1,1,2
23,23,1,1,2,1,1,2,1,1,2
24,24,1,1,2,1,1,2,1,1,2
25,25,1,1,2,1,1,2,1,1,2
26,26,1,1,2,1,1,2,1,1,2
27,27,1,1,2,1,1,2,1,1,2
28,28,1,1,2,1,1,2,1,1,2
29,29,1,1,2,1,1,2,1,1,2
30,30,1,1,2,1,1,2,1,1,2
31,31,1,1,2,1,1,2,1,1,2
32,32,1,1,2,1,1,2,1,1,2
33,33,1,1,2,1,1,2,1,1,2
34,34,2,2,4,2,2,4,2,2,4
35,35,2,2,4,2,2,4,2,2,4
36,36,2,2,4,2,2,4,2,2,4
37,37,2,2,4,2,2,4,2,2,4
38,38,2,2,4,2,2,4,2,2,4
39,39,2,2,4,2,2,4,2,2,4
40,40,2,2,4,2,2,4,2,2,4
41,41,2,2,4,2,2,4,2,2,4
42,42,2,2,4,2,2,4,2,2,4
43,43,2,2,4,2,2,4,2,2,4
44,44,2,2,4,2,2,4,2,2,4
45,45,2,2,4,2,2,4,2,2,4
46,46,2,2,4,2,2,4,2,2,4
47,47,2,2,4,2,2,4,2,2,4
48,48,2,2,4,2,2,4,2,2,4
49,49,2,2,4,2,2,4,2,2,4
50,50,2,2,4,2,2,4,2,2,4
51,51,2,2,4,2,2,4,2,2,4
52,52,2,2,4,2,2,4,2,2,4
53,53,2,2,4,2,2,4,2,2,4
54,54,2,2,4,2,2,4,2,2,4
55,55,2,2,4,2,2,4,2,2,4
56,56,2,2,4,2,2,4,2,2,4
57,57,2,2,4,2,2,4,2,2,4
58,58,2,2,4,2,2,4,2,2,4
59,59,2,2,4,2,2,4,2,2,4
60,60,2,2,4,2,2,4,2,2,4
61,61,2,2,4,2,2,4,2,2,4
62,62,2,2,4,2,2,4,2,2,4
63,63,2,2,4,2,2,4,2,2,4
64,64,2,2,4,2,2,4,2,2,4
65,65,2,2,4,2,2,4,2,2,4
66,66,2,2,4,2,2,4,2,2,4
67,67,2,2,4,2,2,4,2,2,4
68,68,4,4,8,4,4,8,4,4,8
69,69,4,4,8,4,4,8,4,4,8
70,70,4,4,8,4,4,8,4,4,8
71,71,4,4,8,4,4,8,4,4,8
72,72,4,4,8,4,4,8,4,4,8
73,73,4,4,8,4,4,8,4,4,8
74,74,4,4,8,4,4,8,4,4,8
75,75,4,4,8,4,4,8,4,4,8
76,76,4,4,8,4,4,8,4,4,8
77,77,4,4,8,4,4,8,4,4,8
78,78,4,4,8,4,4,8,4,4,8
79,79,4,4,8,4,4,8,4,4,8
80,80,4,4,8,4,4,8,4,4,8
81,81,4,4,8,4,4,8,4,4,8
82,82,4,4,8,4,4,8,4,4,8
83,83,4,4,8,4,4,8,4,4,8
84,84,4,4,8,4,4,8,4,4,8
85,85,4,4,8,4,4,8,4,4,8
86,86,4,4,8,4,4,8,4,4,8
87,87,4,4,8,4,4,8,4,4,8
88,88,4,4,8,4,4,8,4,4,8
89,89,4,4,8,4,4,8,4,4,8
90,90,4,4,8,4,4,8,4,4,8
91,91,4,4,8,4,4,8,4,4,8
92,92,4,4,8,4,4,8,4,4,8
93,93,4,4,8,4,4,8,4,4,8
94,94,4,4,8,4,4,8,4,4,8
95,95,4,4,8,4,4,8,4,4,8
96,96,4,4,8,4,4,8,4,4,8
97,97,4,4,8,4,4,8,4,4,8
98,98,4,4,8,4,4,8,4,4,8
99,99,4,4,8,4,4,8,4,4,8
100,100,4,4,8,4,4,8,4,4,8
101,101,8,8,16,8,8,16,8,8,16
102,102,8,8,16,8,8,16,8,8,16
103,103,8,8,16,8,8,16,8,8,16
104,104,8,8,16,8,8,16,8,8,16
105,105,8,8,16,8,8,16,8,8,16
106,106,8,8,16,8,8,16,8,8,16
107,107,8,8,16,8,8,16,8,8,16
108,108,8,8,16,8,8,16,8,8,16
109,109,8,8,16,8,8,16,8,8,16
110,110,8,8,16,8,8,16,8,8,16
111,111,8,8,16,8,8,16,8,8,16
112,112,8,8,16,8,8,16,8,8,16
113,113,8,8,16,8,8,16,8,8,16
114,114,8,8,16,8,8,16,8,8,16
115,115,8,8,16,8,8,16,8,8,16
116,116,8,8,16,8,8,16,8,8,16
117,117,8,8,16,8,8,16,8,8,16
118,118,8,8,16,8,8,16,8,8,16
119,119,8,8,16,8,8,16,8,8,16
120,120,8,8,16,8,8,16,8,8,16
121,121,8,8,16,8,8,16,8,8,16
122,122,8,8,16,8,8,16,8,8,16
123,123,8,8,16,8,8,16,8,8,16
124,124,8,8,16,8,8,16,8,8,16
125,125,8,8,16,8,8,16,8,8,16
126,126,8,8,16,8,8,16,8,8,16
127,127,8,8,16,8,8,16,8,8,16
128,128,8,8,16,8,8,16,8,8,16
129,129,8,8,16,8,8,16,8,8,16
130,130,8,8,16,8,8,16,8,8,16
131,131,8,8,16,8,8,16,8,8,16
132,132,8,8,16,8,8,16,8,8,16
133,133,8,8,16,8,8,16,8,8,16
134,134,8,8,16,8,8,16,8,8,16
135,135,16,16,32,16,16,32,16,16,32
136,136,16,16,32,16,16,32,16,16,32
137,137,16,16,32,16,16,32,16,16,32
138,138,16,16,32,16,16,32,16,16,32
139,139,16,16,32,16,16,32,16,16,32
140,140,16,16,32,16,16,32,16,16,32
141,141,16,16,32,16,16,32,16,16,32
142,142,16,16,32,16,16,32,16,16,32
143,143,16,16,32,16,16,32,16,16,32
144,144,16,16,32,16,16,32,16,16,32
145,145,16,16,32,16,16,32,16,16,32
146,146,16,16,32,16,16,32,16,16,32
147,147,16,16,32,16,16,32,16,16,32
148,148,16,16,32,16,16,32,16,16,32
149,149,16,16,32,16,16,32,16,16,32
150,150,16,16,32,16,16,32,16,16,32
151,151,16,16,32,16,16,32,16,16,32
152,152,16,16,32,16,16,32,16,16,32
153,153,16,16,32,16,16,32,16,16,32
154,154,16,16,32,16,16,32,16,16,32
155,155,16,16,32,16,16,32,16,16,32
156,156,16,16,32,16,16,32,16,16,32
157,157,16,16,32,16,16,32,16,16,32
158,158,16,16,32,16,16,32,16,16,32
159,159,16,16,32,16,16,32,16,16,32
160,160,16,16,32,16,16,32,16,16,32
161,161,16,16,32,16,16,32,16,16,32
162,162,16,16,32,16,16,32,16,16,32
163,163,16,16,32,16,16,32,16,16,32
164,164,16,16,32,16,16,32,16,16,32
165,165,16,16,32,16,16,32,16,16,32
166,166,16,16,32,16,16,32,16,16,32
167,167,16,16,32,16,16,32,16,16,32
168,168,32,32,64,32,32,64,32,32,64
169,169,32,32,64,32,32,64,32,32,64
170,170,32,32,64,32,32,64,32,32,64
171,171,32,32,64,32,32,64,32,32,64
172,172,32,32,64,32,32,64,32,32,64
173,173,32,32,64,32,32,64,32,32,64
174,174,32,32,64,32,32,64,32,32,64
175,175,32,32,64,32,32,64,32,32,64
176,176,32,32,64,32,32,64,32,32,64
177,177,32,32,64,32,32,64,32,32,64
178,178,32,32,64,32,32,64,32,32,64
179,179,32,32,64,32,32,64,32,32,64
180,180,32,32,64,32,32,64,32,32,64
181,181,32,32,64,32,32,64,32,32,64
182,182,32,32,64,32,32,64,32,32,64
183,183,32,32,64,32,32,64,32,32,64
184,184,32,32,64,32,32,64,32,32,64
185,185,32,32,64,32,32,64,32,32,64
186,186,32,32,64,32,32,64,32,32,64
187,187,32,32,64,32,32,64,32,32,64
188,188,32,32,64,32,32,64,32,32,64
189,189,32,32,64,32,32,64,32,32,64
190,190,32,32,64,32,32,64,32,32,64
