,cycle,population_size__t1,available_food__t1,population_size__t2,available_food__t2,population_size__t3,available_food__t3
0,0.0,2.0,1000.0,2.0,1000.0,2.0,1000.0
1,1.0,2.0,1490.0,2.0,1490.0,2.0,1490.0
2,2.0,2.0,1980.0,2.0,1980.0,2.0,1980.0
3,3.0,2.0,2470.0,2.0,2470.0,2.0,2470.0
4,4.0,2.0,2960.0,2.0,2960.0,2.0,2960.0
5,5.0,2.0,3450.0,2.0,3450.0,2.0,3450.0
6,6.0,2.0,3940.0,2.0,3940.0,2.0,3940.0
7,7.0,2.0,4430.0,2.0,4430.0,2.0,4430.0
8,8.0,2.0,4920.0,2.0,4920.0,2.0,4920.0
9,9.0,2.0,5410.0,2.0,5410.0,2.0,5410.0
10,10.0,2.0,5900.0,2.0,5900.0,2.0,5900.0
11,11.0,2.0,6390.0,2.0,6390.0,2.0,6390.0
12,12.0,2.0,6880.0,2.0,6880.0,2.0,6880.0
13,13.0,2.0,7370.0,2.0,7370.0,2.0,7370.0
14,14.0,2.0,7860.0,2.0,7860.0,2.0,7860.0
15,15.0,2.0,8350.0,2.0,8350.0,2.0,8350.0
16,16.0,2.0,8840.0,2.0,8840.0,2.0,8840.0
17,17.0,2.0,9330.0,2.0,9330.0,2.0,9330.0
18,18.0,2.0,9820.0,2.0,9820.0,2.0,9820.0
19,19.0,2.0,10310.0,2.0,10310.0,2.0,10310.0
20,20.0,2.0,10800.0,2.0,10800.0,2.0,10800.0
21,21.0,2.0,11290.0,2.0,11290.0,2.0,11290.0
22,22.0,2.0,11780.0,2.0,11780.0,2.0,11780.0
23,23.0,2.0,12270.0,2.0,12270.0,2.0,12270.0
24,24.0,2.0,12760.0,2.0,12760.0,2.0,12760.0
25,25.0,2.0,13250.0,2.0,13250.0,2.0,13250.0
26,26.0,2.0,13740.0,2.0,13740.0,2.0,13740.0
27,27.0,2.0,14230.0,2.0,14230.0,2.0,14230.0
28,28.0,2.0,14720.0,2.0,14720.0,2.0,14720.0
29,29.0,2.0,15210.0,2.0,15210.0,2.0,15210.0
30,30.0,2.0,15700.0,2.0,15700.0,2.0,15700.0
31,31.0,2.0,16190.0,2.0,16190.0,2.0,16190.0
32,32.0,2.0,16680.0,2.0,16680.0,2.0,16680.0
33,33.0,2.0,17170.0,2.0,17170.0,2.0,17170.0
34,34.0,3.0,17660.0,3.0,17660.0,3.0,17660.0
35,35.0,4.0,18145.0,4.0,18145.0,4.0,18145.0
36,36.0,5.0,18625.0,5.0,18625.0,5.0,18625.0
37,37.0,6.0,19100.0,6.0,19100.0,6.0,19100.0
38,38.0,7.0,19570.0,7.0,19570.0,7.0,19570.0
39,39.0,8.0,20035.0,8.0,20035.0,8.0,20035.0
40,40.0,9.0,20495.0,9.0,20495.0,9.0,20495.0
41,41.0,10.0,20950.0,10.0,20950.0,10.0,20950.0
42,42.0,11.0,21400.0,11.0,21400.0,11.0,21400.0
43,43.0,12.0,21845.0,12.0,21845.0,12.0,21845.0
44,44.0,13.0,22285.0,13.0,22285.0,13.0,22285.0
45,45.0,14.0,22720.0,14.0,22720.0,14.0,22720.0
46,46.0,15.0,23150.0,15.0,23150.0,15.0,23150.0
47,47.0,16.0,23575.0,16.0,23575.0,16.0,23575.0
48,48.0,17.0,23995.0,17.0,23995.0,17.0,23995.0
49,49.0,18.0,24410.0,18.0,24410.0,18.0,24410.0
50,50.0,19.0,24820.0,19.0,24820.0,19.0,24820.0
51,51.0,20.0,25225.0,20.0,25225.0,20.0,25225.0
52,52.0,21.0,25625.0,21.0,25625.0,21.0,25625.0
53,53.0,22.0,26020.0,22.0,26020.0,22.0,26020.0
54,54.0,23.0,26410.0,23.0,26410.0,23.0,26410.0
55,55.0,24.0,26795.0,24.0,26795.0,24.0,26795.0
56,56.0,25.0,27175.0,25.0,27175.0,25.0,27175.0
57,57.0,26.0,27550.0,26.0,27550.0,26.0,27550.0
58,58.0,27.0,27920.0,27.0,27920.0,27.0,27920.0
59,59.0,28.0,28285.0,28.0,28285.0,28.0,28285.0
60,60.0,29.0,28645.0,29.0,28645.0,29.0,28645.0
61,61.0,30.0,29000.0,30.0,29000.0,30.0,29000.0
62,62.0,31.0,29350.0,31.0,29350.0,31.0,29350.0
63,63.0,32.0,29695.0,32.0,29695.0,32.0,29695.0
64,64.0,33.0,30035.0,33.0,30035.0,33.0,30035.0
65,65.0,34.0,30370.0,34.0,30370.0,34.0,30370.0
66,66.0,35.0,30700.0,35.0,30700.0,35.0,30700.0
67,67.0,36.0,31025.0,36.0,31025.0,36.0,31025.0
68,68.0,38.0,31345.0,38.0,31345.0,38.0,31345.0
69,69.0,41.0,31655.0,41.0,31655.0,41.0,31655.0
70,70.0,45.0,31950.0,45.0,31950.0,45.0,31950.0
71,71.0,50.0,32225.0,50.0,32225.0,50.0,32225.0
72,72.0,56.0,32475.0,56.0,32475.0,56.0,32475.0
73,73.0,63.0,32695.0,63.0,32695.0,63.0,32695.0
74,74.0,71.0,32880.0,71.0,32880.0,71.0,32880.0
75,75.0,80.0,33025.0,80.0,33025.0,80.0,33025.0
76,76.0,90.0,33125.0,90.0,33125.0,90.0,33125.0
77,77.0,101.0,33175.0,101.0,33175.0,101.0,33175.0
78,78.0,113.0,33170.0,113.0,33170.0,113.0,33170.0
79,79.0,126.0,33105.0,126.0,33105.0,126.0,33105.0
80,80.0,140.0,32975.0,140.0,32975.0,140.0,32975.0
81,81.0,155.0,32775.0,155.0,32775.0,155.0,32775.0
82,82.0,171.0,32500.0,171.0,32500.0,171.0,32500.0
83,83.0,188.0,32145.0,188.0,32145.0,188.0,32145.0
84,84.0,206.0,31705.0,206.0,31705.0,206.0,31705.0
85,85.0,225.0,31175.0,225.0,31175.0,224.0,31175.0
86,86.0,245.0,30550.0,245.0,30550.0,244.0,30555.0
87,87.0,266.0,29825.0,266.0,29825.0,264.0,29835.0
88,88.0,288.0,28995.0,288.0,28995.0,285.0,29015.0
89,89.0,311.0,28055.0,311.0,28055.0,307.0,28090.0
90,90.0,334.0,27000.0,335.0,27000.0,330.0,27055.0
91,91.0,358.0,25830.0,361.0,25825.0,354.0,25905.0
92,92.0,383.0,24540.0,389.0,24520.0,380.0,24635.0
93,93.0,409.0,23125.0,418.0,23075.0,408.0,23235.0
94,94.0,436.0,21580.0,449.0,21485.0,436.0,21695.0
95,95.0,464.0,19900.0,481.0,19740.0,465.0,20015.0
96,96.0,494.0,18080.0,514.0,17835.0,495.0,18190.0
97,97.0,524.0,16110.0,549.0,15765.0,526.0,16215.0
98,98.0,555.0,13990.0,585.0,13520.0,557.0,14085.0
99,99.0,586.0,11715.0,621.0,11095.0,590.0,11800.0
100,100.0,619.0,9285.0,659.0,8490.0,624.0,9350.0
101,101.0,652.0,6690.0,698.0,5695.0,659.0,6730.0
102,102.0,687.0,3930.0,739.0,2705.0,695.0,3935.0
103,103.0,724.0,995.0,782.0,500.0,734.0,960.0
104,104.0,761.0,500.0,824.0,500.0,773.0,500.0
105,105.0,798.0,500.0,866.0,500.0,811.0,500.0
106,106.0,834.0,500.0,907.0,500.0,849.0,500.0
107,107.0,868.0,500.0,946.0,500.0,887.0,500.0
108,108.0,902.0,500.0,985.0,500.0,923.0,500.0
109,109.0,935.0,500.0,1024.0,500.0,958.0,500.0
110,110.0,968.0,500.0,1062.0,500.0,992.0,500.0
111,111.0,1001.0,500.0,1099.0,500.0,1027.0,500.0
112,112.0,1033.0,500.0,1135.0,500.0,1061.0,500.0
113,113.0,1065.0,500.0,1170.0,500.0,1094.0,500.0
