,cycle,population_active__t1,population_passive__t1,population_total__t1,population_active__t2,population_passive__t2,population_total__t2,population_active__t3,population_passive__t3,population_total__t3
0,0,1,1,2,1,1,2,1,1,2
1,1,1,1,2,1,1,2,1,1,2
2,2,1,1,2,1,1,2,1,1,2
3,3,1,1,2,1,1,2,1,1,2
4,4,1,1,2,1,1,2,1,1,2
5,5,1,1,2,1,1,2,1,1,2
6,6,1,1,2,1,1,2,1,1,2
7,7,1,1,2,1,1,2,1,1,2
8,8,1,1,2,1,1,2,1,1,2
9,9,1,1,2,1,1,2,1,1,2
10,10,1,1,2,1,1,2,1,1,2
11,11,1,1,2,1,1,2,1,1,2
12,12,1,1,2,1,1,2,1,1,2
13,13,1,1,2,1,1,2,1,1,2
14,14,1,1,2,1,1,2,1,1,2
15,15,1,1,2,1,1,2,1,1,2
16,16,1,1,2,1,1,2,1,1,2
17,17,1,1,2,1,1,2,1,1,2
18,18,1,1,2,1,1,2,1,1,2
19,19,1,1,2,1,1,2,1,1,2
20,20,1,1,2,1,1,2,1,1,2
21,21,1,1,2,1,1,2,1,1,2
22,22,1,1,2,1,1,2,1,1,2
23,23,1,1,2,1,1,2,1,1,2
24,24,1,1,2,1,1,2,1,1,2
25,25,1,1,2,1,1,2,1,1,2
26,26,1,1,2,1,1,2,1,1,2
27,27,1,1,2,1,1,2,1,1,2
28,28,1,1,2,1,1,2,1,1,2
29,29,1,1,2,1,1,2,1,1,2
30,30,1,1,2,1,1,2,1,1,2
31,31,1,1,2,1,1,2,1,1,2
32,32,1,1,2,1,1,2,1,1,2
33,33,1,1,2,1,1,2,1,1,2
34,34,2,1,3,2,1,3,2,1,3
35,35,2,1,3,2,1,3,2,1,3
36,36,2,1,3,2,1,3,2,1,3
37,37,2,1,3,2,1,3,2,1,3
38,38,2,1,3,2,1,3,2,1,3
39,39,2,1,3,2,1,3,2,1,3
40,40,2,1,3,2,1,3,2,1,3
41,41,2,1,3,2,1,3,2,1,3
42,42,2,1,3,2,1,3,2,1,3
43,43,2,1,3,2,1,3,2,1,3
44,44,2,1,3,2,1,3,2,1,3
45,45,2,1,3,2,1,3,2,1,3
46,46,2,1,3,2,1,3,2,1,3
47,47,2,1,3,2,1,3,2,1,3
48,48,2,1,3,2,1,3,2,1,3
49,49,2,1,3,2,1,3,2,1,3
50,50,2,1,3,2,1,3,2,1,3
51,51,2,2,4,2,2,4,2,2,4
52,52,2,2,4,2,2,4,2,2,4
53,53,2,2,4,2,2,4,2,2,4
54,54,2,2,4,2,2,4,2,2,4
55,55,2,2,4,2,2,4,2,2,4
56,56,2,2,4,2,2,4,2,2,4
57,57,2,2,4,2,2,4,2,2,4
58,58,2,2,4,2,2,4,2,2,4
59,59,2,2,4,2,2,4,2,2,4
60,60,2,2,4,2,2,4,2,2,4
61,61,2,2,4,2,2,4,2,2,4
62,62,2,2,4,2,2,4,2,2,4
63,63,2,2,4,2,2,4,2,2,4
64,64,2,2,4,2,2,4,2,2,4
65,65,2,2,4,2,2,4,2,2,4
66,66,2,2,4,2,2,4,2,2,4
67,67,2,2,4,2,2,4,2,2,4
68,68,4,2,6,4,2,6,4,2,6
69,69,4,2,6,4,2,6,4,2,6
70,70,4,2,6,4,2,6,4,2,6
71,71,4,2,6,4,2,6,4,2,6
72,72,4,2,6,4,2,6,4,2,6
73,73,4,2,6,4,2,6,4,2,6
74,74,4,2,6,4,2,6,4,2,6
75,75,4,2,6,4,2,6,4,2,6
76,76,4,2,6,4,2,6,4,2,6
77,77,4,2,6,4,2,6,4,2,6
78,78,4,2,6,4,2,6,4,2,6
79,79,4,2,6,4,2,6,4,2,6
80,80,4,2,6,4,2,6,4,2,6
81,81,4,2,6,4,2,6,4,2,6
82,82,4,2,6,4,2,6,4,2,6
83,83,4,2,6,4,2,6,4,2,6
84,84,4,2,6,4,2,6,4,2,6
85,85,4,2,6,4,2,6,4,2,6
86,86,4,2,6,4,2,6,4,2,6
87,87,4,2,6,4,2,6,4,2,6
88,88,4,2,6,4,2,6,4,2,6
89,89,4,2,6,4,2,6,4,2,6
90,90,4,2,6,4,2,6,4,2,6
91,91,4,2,6,4,2,6,4,2,6
92,92,4,2,6,4,2,6,4,2,6
93,93,4,2,6,4,2,6,4,2,6
94,94,4,2,6,4,2,6,4,2,6
95,95,4,2,6,4,2,6,4,2,6
96,96,4,2,6,4,2,6,4,2,6
97,97,4,2,6,4,2,6,4,2,6
98,98,4,2,6,4,2,6,4,2,6
99,99,4,2,6,4,2,6,4,2,6
100,100,4,2,6,4,2,6,4,2,6
101,101,4,2,6,4,2,6,4,2,6
102,102,8,4,12,8,4,12,8,4,12
103,103,8,4,12,8,4,12,8,4,12
104,104,8,4,12,8,4,12,8,4,12
105,105,8,4,12,8,4,12,8,4,12
106,106,8,4,12,8,4,12,8,4,12
107,107,8,4,12,8,4,12,8,4,12
108,108,8,4,12,8,4,12,8,4,12
109,109,8,4,12,8,4,12,8,4,12
110,110,8,4,12,8,4,12,8,4,12
111,111,8,4,12,8,4,12,8,4,12
112,112,8,4,12,8,4,12,8,4,12
113,113,8,4,12,8,4,12,8,4,12
114,114,8,4,12,8,4,12,8,4,12
115,115,8,4,12,8,4,12,8,4,12
116,116,8,4,12,8,4,12,8,4,12
117,117,8,4,12,8,4,12,8,4,12
118,118,8,4,12,8,4,12,8,4,12
119,119,8,4,12,8,4,12,8,4,12
120,120,8,4,12,8,4,12,8,4,12
121,121,8,4,12,8,4,12,8,4,12
122,122,8,4,12,8,4,12,8,4,12
123,123,8,4,12,8,4,12,8,4,12
124,124,8,4,12,8,4,12,8,4,12
125,125,8,4,12,8,4,12,8,4,12
126,126,8,4,12,8,4,12,8,4,12
127,127,8,4,12,8,4,12,8,4,12
128,128,8,4,12,8,4,12,8,4,12
129,129,8,4,12,8,4,12,8,4,12
130,130,8,4,12,8,4,12,8,4,12
131,131,8,4,12,8,4,12,8,4,12
132,132,8,4,12,8,4,12,8,4,12
133,133,8,4,12,8,4,12,8,4,12
134,134,8,4,12,8,4,12,8,4,12
135,135,8,4,12,8,4,12,8,4,12
136,136,16,4,20,16,4,20,16,4,20
137,137,16,4,20,16,4,20,16,4,20
138,138,16,4,20,16,4,20,16,4,20
139,139,16,4,20,16,4,20,16,4,20
140,140,16,4,20,16,4,20,16,4,20
141,141,16,4,20,16,4,20,16,4,20
142,142,16,4,20,16,4,20,16,4,20
143,143,16,4,20,16,4,20,16,4,20
144,144,16,4,20,16,4,20,16,4,20
145,145,16,4,20,16,4,20,16,4,20
146,146,16,4,20,16,4,20,16,4,20
147,147,16,4,20,16,4,20,16,4,20
148,148,16,4,20,16,4,20,16,4,20
149,149,16,4,20,16,4,20,16,4,20
150,150,16,4,20,16,4,20,16,4,20
151,151,16,4,20,16,4,20,16,4,20
152,152,16,4,20,16,4,20,16,4,20
153,153,16,4,20,16,4,20,16,4,20
154,154,16,8,24,16,8,24,16,8,24
155,155,16,8,24,16,8,24,16,8,24
156,156,16,8,24,16,8,24,16,8,24
157,157,16,8,24,16,8,24,16,8,24
158,158,16,8,24,16,8,24,16,8,24
159,159,16,8,24,16,8,24,16,8,24
160,160,16,8,24,16,8,24,16,8,24
161,161,16,8,24,16,8,24,16,8,24
162,162,16,8,24,16,8,24,16,8,24
163,163,16,8,24,16,8,24,16,8,24
164,164,16,8,24,16,8,24,16,8,24
165,165,16,8,24,16,8,24,16,8,24
166,166,16,8,24,16,8,24,16,8,24
167,167,16,8,24,16,8,24,16,8,24
168,168,16,8,24,16,8,24,16,8,24
169,169,16,8,24,16,8,24,16,8,24
170,170,32,8,40,32,8,40,32,8,40
171,171,32,8,40,32,8,40,32,8,40
172,172,32,8,40,32,8,40,32,8,40
173,173,32,8,40,32,8,40,32,8,40
174,174,32,8,40,32,8,40,32,8,40
175,175,32,8,40,32,8,40,32,8,40
176,176,32,8,40,32,8,40,32,8,40
177,177,32,8,40,32,8,40,32,8,40
178,178,32,8,40,32,8,40,32,8,40
179,179,32,8,40,32,8,40,32,8,40
180,180,32,8,40,32,8,40,32,8,40
181,181,32,8,40,32,8,40,32,8,40
182,182,32,8,40,32,8,40,32,8,40
183,183,32,8,40,32,8,40,32,8,40
184,184,32,8,40,32,8,40,32,8,40
185,185,32,8,40,32,8,40,32,8,40
186,186,32,8,40,32,8,40,32,8,40
187,187,32,8,40,32,8,40,32,8,40
188,188,32,8,40,32,8,40,32,8,40
189,189,32,8,40,32,8,40,32,8,40
190,190,32,8,40,32,8,40,32,8,40
